@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {Membrane,Nucleus,Other}

@data
9772,8983.21875,58362.90625,29568,-1417256704,71982.3125,-42414.308594,1.348516,5720583077458083800,6543293440,9807.037109,8430.3125,54277.460938,26894.158203,-1269745024,67309.289063,-40415.132813,1.327686,4196761391308210200,5802275840,9871.461914,5683.904785,34374.457031,11514.603516,-697316736,43979.371094,-32464.765625,1.19153,387397082207485950,2921852928,-64.424805,9986.762695,4539.253906,18463.824219,-6639.835938,-221917008,18264.283203,-24904.119141,1.11177,41078695011549184,931755456,-179.725586,-115.300781,9574.134766,3151.789551,9135.011719,-4265.396484,-40808392,7391.669434,-11657.066406,1.248661,3300814705655808,181427168,232.902344,297.327148,412.62793,9396.670898,1949.678345,2562.283203,945.990234,-3647671.5,3255.582275,-2309.592041,1.218406,13858009776128,15485583,410.366211,474.791016,590.091797,177.463867,9230.611328,11452.972656,7825.888672,92306.117188,1245.903809,8876.208984,Membrane
10291,13592.792969,48049.605469,-54674,-45706752,12488.075195,-67162.078125,0.703428,9482108013591396000,3172073216,10298.192383,12619.291016,46396.3125,-52195.171875,-77404672,12850.806641,-65045.976563,0.682026,8265511591596785700,3033954560,10361.019531,8514.607422,35955.8125,-37923.148438,-162848704,13361.482422,-51284.628906,0.62595,3005132404479230000,2089559936,-62.827148,9853.327148,6117.748535,17183.507813,-14438.349609,-112114944,10904.369141,-25342.71875,0.993355,136946629960794112,656925696,444.865234,507.692383,9344.099609,3310.328613,8560.672852,-3925.208984,-34291280,6771.592285,-10696.800781,1.291637,2350723111059456,152572384,954.092773,1016.919922,509.227539,9168.511719,1732.965332,2296.144043,804.859375,-2910063.5,2881.144287,-2076.284912,1.233958,7960182915072,12288052,1129.680664,1192.507813,684.81543,175.587891,9035.173828,11101.583008,7896.526367,90351.734375,1049.139038,8660.726563,Membrane
12881,15551.007813,125571.570313,-115750,-1271316480,38258.578125,-154008.578125,0.097211,247640804900732930000,18483329024,12504.287109,15073.15332,111785.210938,-103199.6875,-1002696448,34018.386719,-137218.078125,0.105121,156141822182330200000,14660962304,10510.185547,12125.099609,45034.414063,-44273.859375,-97682120,12147.930664,-56421.789063,0.242188,4608181050235945000,2350903296,1994.101563,9626.019531,7686.002441,14671.24707,-13092.916016,-59306216,7747.759766,-20840.675781,1.057424,70052484260823040,408649312,2878.267578,884.166016,9166.319336,3485.432861,7883.100098,-3884.881836,-26625384,5854.797363,-9739.678711,1.336512,1835131614527488,121593848,3337.967773,1343.866211,459.700195,8968.007813,1552.894897,2062.576416,679.238281,-2337356.75,2554.431885,-1875.193726,1.249282,4526352367616,9810792,3536.279297,1542.177734,658.011719,198.311523,8727.810547,10711.972656,7597.305664,87278.109375,911.146606,8546.964844,Membrane
13510,10704.845703,138364.90625,-163650,2952665856,4692.80127,-168342.796875,0.373953,400934082726565250000,14970659840,13166.303711,10563.094727,126263.804688,-151262.921875,2756099328,1362.281372,-152625.203125,0.383202,271272529151685300000,11856072704,11764.147461,9153.178711,64512.089844,-84023.671875,1245377280,-9774.680664,-74248.992188,0.543757,14673939247786885000,2078468352,1402.15625,10484.262695,5305.946289,24309.658203,-27225.628906,42392920,3293.739014,-30519.367188,1.199002,423736628700250110,571663104,2682.041016,1279.884766,9521.658203,2337.130127,10490.848633,-7721.107422,-28496480,5456.135742,-13177.243164,1.371294,10349334658809856,173601408,3644.645508,2242.489258,962.604492,9010.117188,1407.414917,2073.461426,327.068359,-2566803.25,2441.053223,-2113.984863,1.247509,1109765259264,10374187,4156.186523,2754.030273,1474.145508,511.541016,9105.801758,10902.555664,8066.394531,91058.015625,1073.099487,8709.644531,Membrane
9137,30108.810547,43872.835938,10510,-1052482816,51732.902344,-41222.902344,1.298131,477230824329052160,4320391168,9481.842773,27447.625,42037.835938,7940.035156,-971942144,48415.5625,-40475.527344,1.313213,249075667574980608,3950812672,10407.014648,14662.922852,32266.822266,-8560.845703,-518777696,28494.558594,-37055.40625,1.386541,157452023602610176,2148398848,-925.171875,10289.604492,6244.82959,24789.919922,-18852.958984,-140238768,11979,-30831.958984,1.415603,325715922998263810,916389120,-807.761719,117.410156,9429.270508,2531.514404,10391.091797,-8465.636719,-19820812,4454.82373,-12920.460938,1.419904,10818152887746560,150950256,52.572266,977.744141,860.333984,8848.487305,1267.493896,1908.520508,196.207031,-2149950,2176.359863,-1980.15271,1.268954,332550275072,8638298,633.355469,1558.527344,1441.117188,580.783203,8930.209961,10839.737305,7597.166504,89302.101563,1082.719116,8474.552734,Membrane
8768,15105.570313,138298.890625,124844,-2537346048,175857.90625,-51013.90625,-1.31572,401112713783660250000,25735409664,8730.538086,14497.061523,125400.335938,110594.171875,-2311058944,158919.734375,-48325.566406,-1.332723,262666009526291920000,21475307520,9486.154297,10958.541016,64318.265625,38310.675781,-1384228608,78335.671875,-40024.996094,-1.450561,10280741582961377000,7004623872,-755.616211,10192.09375,6470.474609,27138.039063,-13746.288086,-274127552,18479.080078,-32225.369141,1.546755,242903078016122880,1285470592,-1461.555664,-705.939453,9362.929688,2687.179932,10326.112305,-9364.113281,-10177574,3330.337158,-12694.450195,1.4651,11258690904522752,128396912,-632.391602,123.224609,829.164063,8707.275391,1156.293823,1768.286865,75.005859,-1817790,1944.960083,-1869.954224,1.290471,40938315776,7276786,23.262695,778.878906,1484.818359,655.654297,8728.697266,10695.579102,7708.916504,87286.96875,1140.217407,8426.630859,Membrane
8902,13843.186523,99541.46875,-4996,-4956688896,97130.601563,-102126.601563,-1.531991,495499175664812030,19851716608,9469.865234,12363.874023,94860.0625,-7197.1875,-4488168960,91281.53125,-98478.71875,-1.530132,932623011268263940,18004475904,11025.860352,6149.321777,66542.835938,-17117.621094,-2073484928,56965.816406,-74083.4375,-1.533325,2516088599020044300,8586953728,-1555.995117,10822.939453,2541.719727,34459.921875,-26198.558594,-250583168,15958.396484,-42156.957031,1.565657,1159061727292162050,1688697088,-1353.074219,202.920898,9611.537109,1224.95459,12068.585938,-11695.859375,-4898898,2994.827881,-14690.6875,1.492947,21392901388894208,156388720,-141.671875,1414.323242,1211.402344,8757.765625,1017.705078,1806.952881,-201.580078,-1862817.5,1834.65625,-2036.236328,1.298955,304429989888,7491904.5,712.099609,2268.094727,2065.173828,853.771484,8998.688477,11659.105469,7626.657715,89986.882813,1388.180298,8607.236328,Membrane
11029,9321.702148,77785.554688,-17752,-3954908160,80942.609375,-98694.609375,-1.158553,5084605210987331600,16134765568,11085.755859,8525.295898,74232.40625,-21348.28125,-3404349696,73210.148438,-94558.429688,-1.178828,6413824609015038000,14073147392,11275.717773,5380.306152,55832.710938,-30384.302734,-1278813184,39755.363281,-70139.664063,-1.314332,5574740006859178000,6038458368,-189.961914,10945.03418,2564.128662,34034.679688,-32284.742188,-61327096,9230.970703,-41515.710938,-1.498959,1342084783584313340,1287612928,140.72168,330.683594,9571.866211,1317.315308,12311.19043,-12568.398438,3038910,2254.213867,-14822.612305,1.523776,23032664067932160,145808992,1513.889648,1703.851563,1373.167969,8645.40332,930.263428,1727.664795,-325.980469,-1621975,1652.796509,-1978.776978,1.325704,700717268992,6594163,2440.352539,2630.314453,2299.630859,926.462891,9067.696289,11724.237305,7658.210449,90676.960938,1305.052246,8589.720703,Membrane
15241,12292.948242,103587.609375,-114672,1060649536,9398.808594,-124070.8125,-1.383546,117125001159815200000,8907069440,14645.193359,11052.834961,97138.046875,-109320.0625,1117447808,6499.938965,-115820,-1.372082,89405503783024200000,7481083904,12384.720703,5325.029785,65472.265625,-81684.078125,1112964352,-7522.143555,-74161.9375,-1.28769,14815355134816550000,2220430848,2260.472656,11135.21582,1847.182129,35842.128906,-43924.726563,317967328,-3830.731689,-40093.996094,-1.454128,1268591777116323840,657512128,3509.977539,1249.504883,9525.993164,1387.230347,12479.625977,-13081.738281,7638811.5,1842.943848,-14924.681641,1.542403,24057144764530688,140576640,5119.200195,2858.727539,1609.222656,8548.150391,863.951721,1667.619385,-440.255859,-1425439.25,1496.785278,-1937.041138,1.352408,1142712434688,5895582,6097.042969,3836.570313,2587.06543,977.842773,9115.670898,11642.052734,8073.111328,91156.710938,1228.841919,8459.5,Membrane
14739,5617.430664,173583.96875,-238778,13441601536,-79086.851563,-159691.140625,-1.560602,185214510509657700000,3248526336,14517.393555,5021.970703,160130.390625,-220315.421875,11447735296,-73090.585938,-147224.84375,-1.546122,133382125001413500000,2747943680,13054.675781,1727.515015,90859.15625,-124779.921875,3653018368,-40504.410156,-84275.507813,-1.475434,14915381006130217000,957954624,1462.717773,11138.21875,1731.675781,37275.714844,-47500.234375,432557088,-7532.166992,-39968.066406,-1.514178,1186898063172567040,526043808,3379.174805,1916.457031,9467.979492,1446.109863,12568.50293,-13105.494141,6862868.5,1941.442017,-15046.936523,1.550235,24784527540879360,144302496,5049.414063,3586.696289,1670.239258,8464.617188,815.617615,1624.606445,-545.354492,-1264560.25,1363.72937,-1909.083862,1.379189,1592832950272,5355653,6052.776367,4590.058594,2673.601563,1003.362305,9167.459961,11574.18457,7952.579102,91674.601563,1223.065308,8535.710938,Membrane
